Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
LightGBM,7,0.08781140430476579,0.008626382612911003,0.06564732116553537,-0.20445397431704357,0.5525948103792415,2.213168716430664,"{'subsample': 0.7, 'reg_lambda': 1.0, 'num_leaves': 127, 'n_estimators': 150, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
LightGBM,25,0.08814452116914342,0.008292053713557943,0.06607187299882283,-0.2139501587451532,0.5501996007984032,0.5001276016235352,"{'subsample': 0.9, 'reg_lambda': 0.0, 'num_leaves': 127, 'n_estimators': 150, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
LightGBM,6,0.0883364776244395,0.009058635434297526,0.06625386787866938,-0.21575443400174787,0.5493512974051896,1.6786312103271483,"{'subsample': 0.9, 'reg_lambda': 2.0, 'num_leaves': 63, 'n_estimators': 350, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
LightGBM,12,0.08836269424246997,0.00956490320834753,0.06658287430245459,-0.21535933131925872,0.5418662674650699,0.5659039974212646,"{'subsample': 0.9, 'reg_lambda': 5.0, 'num_leaves': 15, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.6}"
LightGBM,21,0.08854186304576665,0.008281657973275422,0.06669488662790268,-0.22399275020016246,0.5459081836327345,1.4394522190093995,"{'subsample': 0.6, 'reg_lambda': 0.5, 'num_leaves': 15, 'n_estimators': 250, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
LightGBM,9,0.0889264359109325,0.00911298236404723,0.06671197448186195,-0.2325904590243404,0.5451097804391217,3.5245132446289062,"{'subsample': 0.9, 'reg_lambda': 5.0, 'num_leaves': 127, 'n_estimators': 350, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
LightGBM,13,0.08901086781543274,0.009289964176314634,0.06701721377188057,-0.23671295714162807,0.5479041916167665,6.5204551219940186,"{'subsample': 0.6, 'reg_lambda': 2.0, 'num_leaves': 127, 'n_estimators': 350, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
LightGBM,10,0.08984321904769373,0.007885048916794231,0.06773584248664953,-0.260110489801909,0.5439121756487026,3.4847973346710206,"{'subsample': 0.8, 'reg_lambda': 0.0, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
LightGBM,5,0.09030328924285795,0.0078316285180733,0.0678210970316707,-0.2730314843590794,0.540119760479042,3.819045639038086,"{'subsample': 1.0, 'reg_lambda': 0.0, 'num_leaves': 127, 'n_estimators': 350, 'min_child_samples': 50, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
LightGBM,27,0.09092559483697851,0.00833656722577963,0.06863586371170594,-0.2913500541005566,0.5474051896207585,2.237929582595825,"{'subsample': 0.9, 'reg_lambda': 0.0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
